"symbol","股票简称","上市时间","流通股","总股本"
"600515","海南机场","20020806","9176012508.0","11425309602.0"
"600516","方大炭素","20020830","4025970368.0","4025970368.0"
"600517","国网英大","20031010","5718435744.0","5718435744.0"
"600518","康美药业","20010319","13822352188.0","13828896690.0"
"600519","贵州茅台","20010827","1256197800.0","1256197800.0"
"600520","三佳科技","20020108","158430000.0","158430000.0"
"600521","华海药业","20030304","1456098818.0","1497251081.0"
"600522","中天科技","20021024","3412949652.0","3412949652.0"
"600523","贵航股份","20011227","404044620.0","404311320.0"
"600525","ST长园","20021202","1318780152.0","1318780152.0"
"600526","菲达环保","20020722","711626073.0","889703140.0"
"600527","江南高纤","20031127","1731760902.0","1731760902.0"
"600528","中铁工业","20010528","2221551588.0","2221551588.0"
"600529","山东药玻","20020603","663614113.0","663614113.0"
"600530","交大昂立","20010702","774920000.0","774920000.0"
"600531","豫光金铅","20020730","1090258350.0","1090258350.0"
"600533","栖霞建设","20020328","1050000000.0","1050000000.0"
"600535","天士力","20020823","1493950005.0","1493950005.0"
"600536","中国软件","20020517","843655895.0","933786584.0"
"600537","亿晶光电","20030123","1183715018.0","1183715018.0"
"600538","国发股份","20030114","524198348.0","524198348.0"
"600539","狮头股份","20010824","230000000.0","230000000.0"
"600540","新赛股份","20040107","581376960.0","581376960.0"
"600543","莫高股份","20040324","321120000.0","321120000.0"
"600545","卓郎智能","20031203","1787912222.0","1787912222.0"
"600546","山煤国际","20030731","1982456140.0","1982456140.0"
"600547","山东黄金","20030828","3614443347.0","4473429525.0"
"600548","深高速","20011225","1433270326.0","2537856127.0"
"600549","厦门钨业","20021107","1553931980.0","1587585826.0"
"600550","保变电气","20010228","1841528480.0","1841528480.0"
"600551","时代出版","20020905","678055239.0","678055239.0"
"600552","凯盛科技","20021108","944606894.0","944606894.0"
"600556","天下秀","20010807","1807747642.0","1807747642.0"
"600557","康缘药业","20020918","566158806.0","566158806.0"
"600558","XD大西洋","20010227","897604831.0","897604831.0"
"600559","老白干酒","20021029","909509444.0","914747444.0"
"600560","金自天正","20020919","223645500.0","223645500.0"
"600561","江西长运","20020716","284476800.0","284476800.0"
"600562","国睿科技","20030128","1241857840.0","1241857840.0"
"600563","法拉电子","20021210","225000000.0","225000000.0"
"600566","济川药业","20010822","915748160.0","921704160.0"
"600567","山鹰国际","20011218","5471330563.0","5471330563.0"
"600568","ST中珠","20010518","1669067279.0","1992869681.0"
"600569","安阳钢铁","20010820","2872421386.0","2872421386.0"
"600570","恒生电子","20031216","1891767477.0","1891767477.0"
"600571","信雅达","20021101","457751703.0","466318309.0"
"600572","康恩贝","20040412","2514847095.0","2521588948.0"
"600573","惠泉啤酒","20030226","250000000.0","250000000.0"
"600575","淮河能源","20030328","3886261065.0","3886261065.0"
"600576","祥源文旅","20030220","660390083.0","1054548440.0"
"600577","精达股份","20020911","2149177564.0","2149177564.0"
"600578","京能电力","20020510","6694621015.0","6694621015.0"
"600579","中化装备","20020809","494712359.0","494712359.0"
"600580","卧龙电驱","20020606","1562117511.0","1562117511.0"
"600581","八一钢铁","20020816","1532897870.0","1538691470.0"
"600582","天地科技","20020515","4138588892.0","4138588892.0"
"600583","海油工程","20020205","4421354800.0","4421354800.0"
"600584","长电科技","20030603","1789414570.0","1789414570.0"
"600585","海螺水泥","20020207","3999702579.0","5299302579.0"
"600586","金晶科技","20020815","1417337700.0","1417337700.0"
"600587","新华医疗","20020927","604362036.0","606677919.0"
"600588","用友网络","20010518","3416997409.0","3416997409.0"
"600589","大位科技","20010612","1478469890.0","1484669890.0"
"600590","泰豪科技","20020703","843569523.0","852869750.0"
"600592","龙溪股份","20020805","399553571.0","399553571.0"
"600593","大连圣亚","20020711","128800000.0","128800000.0"
"600594","益佰制药","20040323","791927400.0","791927400.0"
"600595","中孚实业","20020626","4007905114.0","4007905114.0"
"600596","新安股份","20010906","1349597049.0","1349597049.0"
"600597","光明乳业","20020828","1378455363.0","1378473763.0"
"600598","北大荒","20020329","1777679909.0","1777679909.0"
"600599","*ST熊猫","20010828","166000000.0","166000000.0"
"600600","青岛啤酒","19930827","709125943.0","1364196788.0"
"600601","方正科技","19901219","4170293287.0","4273742887.0"
