序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
37,300862,蓝盾光电,26.75,5.94,1.5,197766.0,522204459.81,8.48,27.45,25.31,25.81,25.25,5.76,13.06,-530.08,2.47,4938528879.0,4051849437.0,0.11,0.11,-5.01,-1.51
38,301338,凯格精机,61.86,5.91,3.45,60122.0,357847148.48,11.39,63.3,56.65,58.43,58.41,1.1,17.53,49.55,4.45,6581904000.0,2121798000.0,0.98,1.08,67.92,99.55
39,301018,申菱环境,47.88,5.67,2.57,130137.0,612942553.54,7.22,48.21,44.94,45.14,45.31,2.19,6.54,58.83,5.0,12738596764.0,9526942822.0,-0.29,-0.23,29.16,24.75
40,300045,华力创通,22.84,5.59,1.21,598061.0,1349683245.44,6.61,23.23,21.8,21.88,21.63,2.37,11.58,-217.82,9.58,15135502390.0,11792592940.0,0.62,0.4,25.43,9.33
41,301217,铜冠铜箔,25.04,5.17,1.23,471514.0,1151047205.85,7.1,25.1,23.41,23.82,23.81,1.84,5.69,1092.21,3.85,20758549222.0,20758549222.0,0.16,0.04,143.82,125.99
42,300753,爱朋医疗,36.02,5.08,1.74,282011.0,1041445048.45,14.53,40.0,35.02,35.28,34.28,3.57,34.21,-64.31,6.75,4540248960.0,2969256435.0,-0.36,0.33,53.8,105.01
43,300539,横河精密,26.22,5.05,1.26,182267.0,469937579.68,10.74,26.88,24.2,24.53,24.96,1.46,10.56,130.66,10.6,5841821244.0,4523894576.0,0.08,0.38,83.74,149.95
44,301048,金鹰重工,11.86,4.96,0.56,163003.0,188502612.93,5.49,11.87,11.25,11.29,11.3,4.14,3.06,45.21,2.39,6325334124.0,6325334124.0,1.28,1.11,18.36,27.39
45,301077,星华新材,23.36,4.94,1.1,65609.0,149929142.76,5.84,23.6,22.3,22.8,22.26,4.16,6.88,28.76,3.54,3973044062.0,2228605413.0,-0.6,-0.89,6.09,31.53
46,301373,凌玮科技,38.93,4.88,1.81,47040.0,176807116.82,8.89,39.6,36.3,36.79,37.12,2.63,12.23,33.59,2.68,4222818503.0,1497746999.0,0.93,1.04,36.6,56.47
47,301155,海力风电,68.81,4.86,3.19,36103.0,243157565.52,6.29,69.38,65.25,65.51,65.62,2.86,2.96,58.54,2.74,14958707601.0,8381058826.0,0.04,-0.32,10.2,29.29
48,300211,*ST亿通,7.96,4.74,0.36,123615.0,97234972.8,7.24,8.12,7.57,7.65,7.6,2.06,4.14,-45.34,5.16,2419280595.0,2375915319.0,-0.25,-0.25,27.77,-10.56
49,300866,安克创新,135.74,4.74,6.14,44160.0,587477430.65,7.07,136.64,127.48,130.28,129.6,2.43,1.46,36.7,8.25,72778033303.0,40989904744.0,-0.56,-0.53,41.43,41.19
50,300102,乾照光电,13.42,4.68,0.6,583178.0,768650697.9,8.42,13.58,12.5,12.5,12.82,2.9,6.39,111.04,3.0,12350880441.0,12242601158.0,-0.67,-0.59,24.72,30.04
51,300071,福石控股,5.54,4.53,0.24,1113687.0,626315528.3,8.49,5.87,5.42,5.49,5.3,4.25,11.78,-153.35,39.48,5339919221.0,5237243798.0,0.0,0.0,11.02,16.88
52,300950,德固特,31.19,4.49,1.34,128094.0,405437770.57,8.17,32.8,30.36,30.36,29.85,1.35,14.17,50.22,6.34,4755851200.0,2818789232.0,0.68,0.91,101.23,95.55
53,301202,朗威股份,47.92,4.49,2.06,44638.0,208982568.0,5.56,48.19,45.64,45.64,45.86,1.53,12.01,80.13,5.46,6536288000.0,1781665600.0,-0.08,0.4,17.97,3.3
54,300981,中红医疗,16.93,4.44,0.72,436820.0,725809345.52,13.45,17.88,15.7,16.99,16.21,4.38,11.11,95.93,1.35,7260683756.0,6654080501.0,2.86,3.17,53.49,47.6
55,300762,上海瀚讯,27.55,4.32,1.14,638996.0,1754687501.58,9.28,28.6,26.15,26.15,26.41,2.57,10.18,326.87,7.31,17300457019.0,17300457019.0,0.18,0.4,28.56,31.0
56,300315,掌趣科技,6.04,4.32,0.25,2267391.0,1331667275.71,8.46,6.15,5.66,5.77,5.79,2.6,8.78,146.75,3.34,16353970458.0,15601487048.0,0.0,-0.33,29.61,9.82
57,300016,北陆药业,9.7,4.3,0.4,861940.0,839222154.77,9.68,10.21,9.31,9.36,9.3,2.65,15.94,90.34,2.57,5253901908.0,5246562888.0,0.0,-0.1,47.19,57.72
58,300971,博亚精工,23.13,4.28,0.95,110846.0,253705240.06,6.67,23.33,21.85,22.25,22.18,2.58,12.04,413.26,2.76,2720088000.0,2129405579.0,0.04,0.39,41.12,61.52
59,300368,汇金股份,14.46,4.25,0.59,1011808.0,1466619834.22,12.26,15.3,13.6,14.0,13.87,2.26,19.13,-136.05,55.64,7648522649.0,7648522649.0,-0.89,-0.21,107.16,233.18
60,300342,天银机电,19.43,4.24,0.79,554434.0,1070840739.81,5.15,19.74,18.78,18.84,18.64,3.05,13.27,235.65,5.32,8258432246.0,8116853064.0,-0.05,0.05,17.47,20.16
